"# Per-item WritingBench response lengths, re-tokenized with each model's own tokenizer (rescued responses predate native gen_toks capture). subset: A = base 50 queries, B/C = the _sB/_sC subset files (offsets 50/100). index = WritingBench query index, the join key to scores/*.jsonl. Producer: analysis/writingbench/wb_lengths.py"
record,arm,subset,index,gen_toks
gemma4_armA,R16,C,170,1117
gemma4_armA,R16,C,172,1706
gemma4_armA,R16,C,173,1546
gemma4_armA,R16,C,174,1849
gemma4_armA,R16,C,176,1668
gemma4_armA,R16,C,178,1031
gemma4_armA,R16,C,179,2053
gemma4_armA,R16,C,180,1122
gemma4_armA,R16,C,182,1527
gemma4_armA,R16,C,184,1795
gemma4_armA,R16,C,186,1120
gemma4_armA,R16,C,187,1301
gemma4_armA,R16,C,188,1199
gemma4_armA,R16,C,189,964
gemma4_armA,R16,C,192,1736
gemma4_armA,R16,C,194,868
gemma4_armA,R16,C,195,1324
gemma4_armA,R16,C,198,1805
gemma4_armA,R16,C,199,1689
gemma4_armA,R16,C,201,463
gemma4_armA,R16,C,202,183
gemma4_armA,R16,C,203,702
gemma4_armA,R16,C,204,1187
gemma4_armA,R16,C,205,2064
gemma4_armA,R16,C,206,1409
gemma4_armA,R16,C,208,1591
gemma4_armA,R16,C,209,1063
gemma4_armA,R16,C,211,846
gemma4_armA,R16,C,212,1349
gemma4_armA,R16,C,213,1404
gemma4_armA,R16,C,219,910
gemma4_armA,R16,C,220,1106
gemma4_armA,R16,C,223,1972
gemma4_armA,R16,C,224,1352
gemma4_armA,R16,C,227,1922
gemma4_armA,R16,C,229,1093
gemma4_armA,R16,C,231,1731
gemma4_armA,R16,C,232,1263
gemma4_armA,R16,C,233,1627
gemma4_armA,R16,C,236,1886
gemma4_armA,R16,C,240,955
gemma4_armA,R16,C,242,1434
gemma4_armA,R16,C,243,1027
gemma4_armA,R8,A,2,1334
gemma4_armA,R8,A,3,1411
gemma4_armA,R8,A,4,1298
gemma4_armA,R8,A,5,1084
gemma4_armA,R8,A,6,1259
gemma4_armA,R8,A,7,516
gemma4_armA,R8,A,8,328
gemma4_armA,R8,A,10,792
gemma4_armA,R8,A,11,790
gemma4_armA,R8,A,12,1173
gemma4_armA,R8,A,13,1076
gemma4_armA,R8,A,14,1141
gemma4_armA,R8,A,15,953
gemma4_armA,R8,A,16,2293
gemma4_armA,R8,A,17,935
gemma4_armA,R8,A,18,1081
gemma4_armA,R8,A,19,2072
gemma4_armA,R8,A,20,585
gemma4_armA,R8,A,22,1293
gemma4_armA,R8,A,23,1753
gemma4_armA,R8,A,24,1802
gemma4_armA,R8,A,26,1127
gemma4_armA,R8,A,27,2129
gemma4_armA,R8,A,29,1353
gemma4_armA,R8,A,30,908
gemma4_armA,R8,A,31,1636
gemma4_armA,R8,A,33,1408
gemma4_armA,R8,A,34,824
gemma4_armA,R8,A,36,2937
gemma4_armA,R8,A,38,2353
gemma4_armA,R8,A,39,1333
gemma4_armA,R8,A,40,2781
gemma4_armA,R8,A,41,1474
gemma4_armA,R8,A,43,3152
gemma4_armA,R8,A,46,1347
gemma4_armA,R8,A,47,1724
gemma4_armA,R8,A,48,1583
gemma4_armA,R8,A,49,1555
gemma4_armA,R8,A,51,1243
gemma4_armA,R8,A,54,1720
gemma4_armA,R8,A,55,1325
gemma4_armA,R8,A,56,1086
gemma4_armA,R8,A,57,1234
gemma4_armA,R8,A,58,2992
gemma4_armA,R8,A,60,1893
gemma4_armA,R8,A,61,931
gemma4_armA,R8,A,62,2099
gemma4_armA,R8,A,63,1106
gemma4_armA,R8,A,64,1021
gemma4_armA,R8,A,65,1944
gemma4_armA,R8,B,66,1293
gemma4_armA,R8,B,69,1450
gemma4_armA,R8,B,70,1199
gemma4_armA,R8,B,71,2527
gemma4_armA,R8,B,72,1223
gemma4_armA,R8,B,77,1418
gemma4_armA,R8,B,81,1223
gemma4_armA,R8,B,82,1672
gemma4_armA,R8,B,88,1699
gemma4_armA,R8,B,89,2342
gemma4_armA,R8,B,91,1946
gemma4_armA,R8,B,92,1280
gemma4_armA,R8,B,94,1180
gemma4_armA,R8,B,95,2341
gemma4_armA,R8,B,99,1453
gemma4_armA,R8,B,102,1219
gemma4_armA,R8,B,103,2003
gemma4_armA,R8,B,104,2847
gemma4_armA,R8,B,106,1202
gemma4_armA,R8,B,108,3249
gemma4_armA,R8,B,111,1074
gemma4_armA,R8,B,113,2099
gemma4_armA,R8,B,114,1107
gemma4_armA,R8,B,119,1025
gemma4_armA,R8,B,120,1123
gemma4_armA,R8,B,123,1183
gemma4_armA,R8,B,125,1763
gemma4_armA,R8,B,127,1622
gemma4_armA,R8,B,128,1337
gemma4_armA,R8,B,130,1133
gemma4_armA,R8,B,132,2788
gemma4_armA,R8,B,134,1214
gemma4_armA,R8,B,135,1349
gemma4_armA,R8,B,136,1068
gemma4_armA,R8,B,138,1272
gemma4_armA,R8,B,139,2320
gemma4_armA,R8,B,140,1021
gemma4_armA,R8,B,141,858
gemma4_armA,R8,B,142,1347
gemma4_armA,R8,B,144,1235
gemma4_armA,R8,B,145,1140
gemma4_armA,R8,B,146,879
gemma4_armA,R8,B,147,1398
gemma4_armA,R8,B,148,1262
gemma4_armA,R8,B,151,1829
gemma4_armA,R8,B,154,1187
gemma4_armA,R8,B,156,1269
gemma4_armA,R8,B,157,1272
gemma4_armA,R8,B,159,1773
gemma4_armA,R8,B,160,1305
gemma4_armA,R8,C,162,1601
gemma4_armA,R8,C,163,931
gemma4_armA,R8,C,164,1167
gemma4_armA,R8,C,165,2202
gemma4_armA,R8,C,166,1395
gemma4_armA,R8,C,167,2095
gemma4_armA,R8,C,168,993
gemma4_armA,R8,C,170,1075
gemma4_armA,R8,C,172,1596
gemma4_armA,R8,C,173,1573
gemma4_armA,R8,C,174,1838
gemma4_armA,R8,C,176,1864
gemma4_armA,R8,C,178,1052
gemma4_armA,R8,C,179,2180
gemma4_armA,R8,C,180,1362
gemma4_armA,R8,C,182,1813
gemma4_armA,R8,C,184,1749
gemma4_armA,R8,C,186,1106
gemma4_armA,R8,C,187,1428
gemma4_armA,R8,C,188,1178
gemma4_armA,R8,C,189,970
gemma4_armA,R8,C,192,1467
gemma4_armA,R8,C,194,876
gemma4_armA,R8,C,195,1238
gemma4_armA,R8,C,198,1929
gemma4_armA,R8,C,199,1308
gemma4_armA,R8,C,201,477
gemma4_armA,R8,C,202,60
gemma4_armA,R8,C,203,911
gemma4_armA,R8,C,204,1088
gemma4_armA,R8,C,205,1923
gemma4_armA,R8,C,206,1311
gemma4_armA,R8,C,208,1864
gemma4_armA,R8,C,209,1055
gemma4_armA,R8,C,211,834
gemma4_armA,R8,C,212,1087
gemma4_armA,R8,C,213,1455
gemma4_armA,R8,C,219,853
gemma4_armA,R8,C,220,968
gemma4_armA,R8,C,223,2084
gemma4_armA,R8,C,224,1342
gemma4_armA,R8,C,227,1581
gemma4_armA,R8,C,229,1085
gemma4_armA,R8,C,231,1674
gemma4_armA,R8,C,232,1352
gemma4_armA,R8,C,233,1685
gemma4_armA,R8,C,236,1709
gemma4_armA,R8,C,240,1085
gemma4_armA,R8,C,242,1514
gemma4_armA,R8,C,243,1075
gemma4_armA,free,A,2,1476
gemma4_armA,free,A,3,1413
gemma4_armA,free,A,4,1283
gemma4_armA,free,A,5,1180
gemma4_armA,free,A,6,1313
gemma4_armA,free,A,7,522
gemma4_armA,free,A,8,373
gemma4_armA,free,A,10,849
gemma4_armA,free,A,11,924
gemma4_armA,free,A,12,1260
gemma4_armA,free,A,13,1139
gemma4_armA,free,A,14,1190
gemma4_armA,free,A,15,1001
gemma4_armA,free,A,16,1996
gemma4_armA,free,A,17,1014
gemma4_armA,free,A,18,934
gemma4_armA,free,A,19,2157
gemma4_armA,free,A,20,883
gemma4_armA,free,A,22,1463
gemma4_armA,free,A,23,1904
gemma4_armA,free,A,24,1954
gemma4_armA,free,A,26,1099
gemma4_armA,free,A,27,2119
gemma4_armA,free,A,29,1425
gemma4_armA,free,A,30,1069
gemma4_armA,free,A,31,1723
gemma4_armA,free,A,33,1558
gemma4_armA,free,A,34,825
gemma4_armA,free,A,36,2700
gemma4_armA,free,A,38,2050
gemma4_armA,free,A,39,1291
gemma4_armA,free,A,40,2166
gemma4_armA,free,A,41,1540
gemma4_armA,free,A,43,3004
gemma4_armA,free,A,46,1595
gemma4_armA,free,A,47,1765
gemma4_armA,free,A,48,1543
gemma4_armA,free,A,49,1567
gemma4_armA,free,A,51,1387
gemma4_armA,free,A,54,1765
gemma4_armA,free,A,55,1406
gemma4_armA,free,A,56,1138
gemma4_armA,free,A,57,1254
gemma4_armA,free,A,58,2839
gemma4_armA,free,A,60,1847
gemma4_armA,free,A,61,936
gemma4_armA,free,A,62,2269
gemma4_armA,free,A,63,1056
gemma4_armA,free,A,64,1003
gemma4_armA,free,A,65,1540
gemma4_armA,free,B,66,1457
gemma4_armA,free,B,69,1558
gemma4_armA,free,B,70,1284
gemma4_armA,free,B,71,2724
gemma4_armA,free,B,72,1124
gemma4_armA,free,B,77,1466
gemma4_armA,free,B,81,1153
gemma4_armA,free,B,82,1794
gemma4_armA,free,B,88,1684
gemma4_armA,free,B,89,2419
gemma4_armA,free,B,91,1928
gemma4_armA,free,B,92,1431
gemma4_armA,free,B,94,1140
gemma4_armA,free,B,95,2341
gemma4_armA,free,B,99,1524
gemma4_armA,free,B,102,1219
gemma4_armA,free,B,103,1667
gemma4_armA,free,B,104,2228
gemma4_armA,free,B,106,1176
gemma4_armA,free,B,108,3056
gemma4_armA,free,B,111,1064
gemma4_armA,free,B,113,2277
gemma4_armA,free,B,114,1159
gemma4_armA,free,B,119,1047
gemma4_armA,free,B,120,1057
gemma4_armA,free,B,123,1120
gemma4_armA,free,B,125,1961
gemma4_armA,free,B,127,1471
gemma4_armA,free,B,128,1263
gemma4_armA,free,B,130,1156
gemma4_armA,free,B,132,2986
gemma4_armA,free,B,134,1221
gemma4_armA,free,B,135,1264
gemma4_armA,free,B,136,1018
gemma4_armA,free,B,138,1260
gemma4_armA,free,B,139,2200
gemma4_armA,free,B,140,1064
gemma4_armA,free,B,141,1108
gemma4_armA,free,B,142,1382
gemma4_armA,free,B,144,1190
gemma4_armA,free,B,145,1189
gemma4_armA,free,B,146,1105
gemma4_armA,free,B,147,1380
gemma4_armA,free,B,148,1242
gemma4_armA,free,B,151,2085
gemma4_armA,free,B,154,1207
gemma4_armA,free,B,156,1396
gemma4_armA,free,B,157,1123
gemma4_armA,free,B,159,1512
gemma4_armA,free,B,160,1224
gemma4_armA,free,C,162,1386
gemma4_armA,free,C,163,949
gemma4_armA,free,C,164,1349
gemma4_armA,free,C,165,2166
gemma4_armA,free,C,166,1369
gemma4_armA,free,C,167,1972
gemma4_armA,free,C,168,1152
gemma4_armA,free,C,170,974
gemma4_armA,free,C,172,1495
gemma4_armA,free,C,173,1287
gemma4_armA,free,C,174,1956
gemma4_armA,free,C,176,2294
gemma4_armA,free,C,178,1082
gemma4_armA,free,C,179,2658
gemma4_armA,free,C,180,1218
gemma4_armA,free,C,182,1921
gemma4_armA,free,C,184,1964
gemma4_armA,free,C,186,1134
gemma4_armA,free,C,187,1368
gemma4_armA,free,C,188,1238
gemma4_armA,free,C,189,1028
gemma4_armA,free,C,192,1458
gemma4_armA,free,C,194,861
gemma4_armA,free,C,195,1410
gemma4_armA,free,C,198,1858
gemma4_armA,free,C,199,1458
gemma4_armA,free,C,201,473
gemma4_armA,free,C,202,193
gemma4_armA,free,C,203,760
gemma4_armA,free,C,204,1108
gemma4_armA,free,C,205,1609
gemma4_armA,free,C,206,1323
gemma4_armA,free,C,208,1806
gemma4_armA,free,C,209,949
gemma4_armA,free,C,211,788
gemma4_armA,free,C,212,1302
gemma4_armA,free,C,213,1449
gemma4_armA,free,C,219,1323
gemma4_armA,free,C,220,1137
gemma4_armA,free,C,223,1861
gemma4_armA,free,C,224,1493
gemma4_armA,free,C,227,2372
gemma4_armA,free,C,229,1103
gemma4_armA,free,C,231,1722
gemma4_armA,free,C,232,1208
gemma4_armA,free,C,233,1891
gemma4_armA,free,C,236,1752
gemma4_armA,free,C,240,879
gemma4_armA,free,C,242,1497
gemma4_armA,free,C,243,1165
gemma4_base,R16,A,2,1355
gemma4_base,R16,A,3,1485
gemma4_base,R16,A,4,1254
gemma4_base,R16,A,5,1138
gemma4_base,R16,A,6,1147
gemma4_base,R16,A,7,483
gemma4_base,R16,A,8,308
gemma4_base,R16,A,10,751
gemma4_base,R16,A,11,895
gemma4_base,R16,A,12,1248
gemma4_base,R16,A,13,1070
gemma4_base,R16,A,14,1054
gemma4_base,R16,A,15,1034
gemma4_base,R16,A,16,2001
gemma4_base,R16,A,17,994
gemma4_base,R16,A,18,1017
gemma4_base,R16,A,19,2142
gemma4_base,R16,A,20,540
gemma4_base,R16,A,22,1351
gemma4_base,R16,A,23,2013
gemma4_base,R16,A,24,1977
gemma4_base,R16,A,26,1161
gemma4_base,R16,A,27,2161
gemma4_base,R16,A,29,1463
gemma4_base,R16,A,30,1055
gemma4_base,R16,A,31,1799
gemma4_base,R16,A,33,1609
gemma4_base,R16,A,34,855
gemma4_base,R16,A,36,2491
gemma4_base,R16,A,38,2629
gemma4_base,R16,A,39,1356
gemma4_base,R16,A,40,2406
gemma4_base,R16,A,41,1606
gemma4_base,R16,A,43,1915
gemma4_base,R16,A,46,1423
gemma4_base,R16,A,47,1596
gemma4_base,R16,A,48,1364
gemma4_base,R16,A,49,1518
gemma4_base,R16,A,51,1357
gemma4_base,R16,A,54,1798
gemma4_base,R16,A,55,1306
gemma4_base,R16,A,56,1192
gemma4_base,R16,A,57,1338
gemma4_base,R16,A,58,2758
gemma4_base,R16,A,60,1727
gemma4_base,R16,A,61,1013
gemma4_base,R16,A,62,2083
gemma4_base,R16,A,63,1124
gemma4_base,R16,A,64,1017
gemma4_base,R16,A,65,1721
gemma4_base,R16,B,66,1273
gemma4_base,R16,B,69,1507
gemma4_base,R16,B,70,1257
gemma4_base,R16,B,71,3123
gemma4_base,R16,B,72,1149
gemma4_base,R16,B,77,1574
gemma4_base,R16,B,81,1227
gemma4_base,R16,B,82,1523
gemma4_base,R16,B,88,1617
gemma4_base,R16,B,89,1461
gemma4_base,R16,B,91,1803
gemma4_base,R16,B,92,1346
gemma4_base,R16,B,94,1157
gemma4_base,R16,B,95,2230
gemma4_base,R16,B,99,1655
gemma4_base,R16,B,102,1202
gemma4_base,R16,B,103,1608
gemma4_base,R16,B,104,2776
gemma4_base,R16,B,106,1003
gemma4_base,R16,B,108,2921
gemma4_base,R16,B,111,1027
gemma4_base,R16,B,113,2264
gemma4_base,R16,B,114,1326
gemma4_base,R16,B,119,983
gemma4_base,R16,B,120,1158
gemma4_base,R16,B,123,1084
gemma4_base,R16,B,125,1629
gemma4_base,R16,B,127,1475
gemma4_base,R16,B,128,1308
gemma4_base,R16,B,130,1052
gemma4_base,R16,B,132,3011
gemma4_base,R16,B,134,1340
gemma4_base,R16,B,135,1235
gemma4_base,R16,B,136,971
gemma4_base,R16,B,138,1367
gemma4_base,R16,B,139,1960
gemma4_base,R16,B,140,1039
gemma4_base,R16,B,141,940
gemma4_base,R16,B,142,1208
gemma4_base,R16,B,144,1316
gemma4_base,R16,B,145,1131
gemma4_base,R16,B,146,976
gemma4_base,R16,B,147,1288
gemma4_base,R16,B,148,1205
gemma4_base,R16,B,151,1934
gemma4_base,R16,B,154,1081
gemma4_base,R16,B,156,1365
gemma4_base,R16,B,157,1191
gemma4_base,R16,B,159,1364
gemma4_base,R16,B,160,1390
gemma4_base,R16,C,162,1436
gemma4_base,R16,C,163,956
gemma4_base,R16,C,164,1321
gemma4_base,R16,C,165,2187
gemma4_base,R16,C,166,1468
gemma4_base,R16,C,167,1846
gemma4_base,R16,C,168,1139
gemma4_base,R16,C,170,990
gemma4_base,R16,C,172,1326
gemma4_base,R16,C,173,1404
gemma4_base,R16,C,174,1838
gemma4_base,R16,C,176,1528
gemma4_base,R16,C,178,1029
gemma4_base,R16,C,179,2171
gemma4_base,R16,C,180,1197
gemma4_base,R16,C,182,1717
gemma4_base,R16,C,184,1589
gemma4_base,R16,C,186,1148
gemma4_base,R16,C,187,1395
gemma4_base,R16,C,188,1146
gemma4_base,R16,C,189,931
gemma4_base,R16,C,192,2278
gemma4_base,R16,C,194,894
gemma4_base,R16,C,195,1295
gemma4_base,R16,C,198,1689
gemma4_base,R16,C,199,1491
gemma4_base,R16,C,201,432
gemma4_base,R16,C,202,203
gemma4_base,R16,C,203,682
gemma4_base,R16,C,204,1150
gemma4_base,R16,C,205,2182
gemma4_base,R16,C,206,1408
gemma4_base,R16,C,208,1648
gemma4_base,R16,C,209,1037
gemma4_base,R16,C,211,837
gemma4_base,R16,C,212,1093
gemma4_base,R16,C,213,1260
gemma4_base,R16,C,219,575
gemma4_base,R16,C,220,1035
gemma4_base,R16,C,223,1875
gemma4_base,R16,C,224,1789
gemma4_base,R16,C,227,1678
gemma4_base,R16,C,229,1023
gemma4_base,R16,C,231,1881
gemma4_base,R16,C,232,1189
gemma4_base,R16,C,233,1588
gemma4_base,R16,C,236,1859
gemma4_base,R16,C,240,1053
gemma4_base,R16,C,242,1542
gemma4_base,R16,C,243,1103
gemma4_base,R8,A,2,1426
gemma4_base,R8,A,3,1384
gemma4_base,R8,A,4,1257
gemma4_base,R8,A,5,1150
gemma4_base,R8,A,6,1142
gemma4_base,R8,A,7,540
gemma4_base,R8,A,8,357
gemma4_base,R8,A,10,669
gemma4_base,R8,A,11,973
gemma4_base,R8,A,12,1165
gemma4_base,R8,A,13,1100
gemma4_base,R8,A,14,1178
gemma4_base,R8,A,15,987
gemma4_base,R8,A,16,2246
gemma4_base,R8,A,17,964
gemma4_base,R8,A,18,1031
gemma4_base,R8,A,19,2031
gemma4_base,R8,A,20,664
gemma4_base,R8,A,22,1372
gemma4_base,R8,A,23,1970
gemma4_base,R8,A,24,2146
gemma4_base,R8,A,26,1112
gemma4_base,R8,A,27,2008
gemma4_base,R8,A,29,1442
gemma4_base,R8,A,30,961
gemma4_base,R8,A,31,1656
gemma4_base,R8,A,33,1413
gemma4_base,R8,A,34,875
gemma4_base,R8,A,36,2408
gemma4_base,R8,A,38,1864
gemma4_base,R8,A,39,1355
gemma4_base,R8,A,40,1333
gemma4_base,R8,A,41,1550
gemma4_base,R8,A,43,3212
gemma4_base,R8,A,46,1338
gemma4_base,R8,A,47,1659
gemma4_base,R8,A,48,1275
gemma4_base,R8,A,49,1499
gemma4_base,R8,A,51,1208
gemma4_base,R8,A,54,1911
gemma4_base,R8,A,55,1258
gemma4_base,R8,A,56,1159
gemma4_base,R8,A,57,1138
gemma4_base,R8,A,58,2917
gemma4_base,R8,A,60,1734
gemma4_base,R8,A,61,938
gemma4_base,R8,A,62,2030
gemma4_base,R8,A,63,1046
gemma4_base,R8,A,64,1053
gemma4_base,R8,A,65,1761
gemma4_base,R8,B,66,1335
gemma4_base,R8,B,69,1489
gemma4_base,R8,B,70,1249
gemma4_base,R8,B,71,2671
gemma4_base,R8,B,72,1224
gemma4_base,R8,B,77,1322
gemma4_base,R8,B,81,1203
gemma4_base,R8,B,82,1680
gemma4_base,R8,B,88,1559
gemma4_base,R8,B,89,2282
gemma4_base,R8,B,91,1698
gemma4_base,R8,B,92,1257
gemma4_base,R8,B,94,1130
gemma4_base,R8,B,95,2341
gemma4_base,R8,B,99,1614
gemma4_base,R8,B,102,1255
gemma4_base,R8,B,103,1789
gemma4_base,R8,B,104,2023
gemma4_base,R8,B,106,1249
gemma4_base,R8,B,108,2719
gemma4_base,R8,B,111,1103
gemma4_base,R8,B,113,1976
gemma4_base,R8,B,114,1087
gemma4_base,R8,B,119,993
gemma4_base,R8,B,120,1154
gemma4_base,R8,B,123,1186
gemma4_base,R8,B,125,1771
gemma4_base,R8,B,127,1434
gemma4_base,R8,B,128,1288
gemma4_base,R8,B,130,1206
gemma4_base,R8,B,132,2972
gemma4_base,R8,B,134,1394
gemma4_base,R8,B,135,1186
gemma4_base,R8,B,136,1115
gemma4_base,R8,B,138,1201
gemma4_base,R8,B,139,1977
gemma4_base,R8,B,140,948
gemma4_base,R8,B,141,950
gemma4_base,R8,B,142,1192
gemma4_base,R8,B,144,1143
gemma4_base,R8,B,145,1206
gemma4_base,R8,B,146,962
gemma4_base,R8,B,147,1183
gemma4_base,R8,B,148,1227
gemma4_base,R8,B,151,1883
gemma4_base,R8,B,154,1362
gemma4_base,R8,B,156,1340
gemma4_base,R8,B,157,1229
gemma4_base,R8,B,159,1412
gemma4_base,R8,B,160,1373
gemma4_base,R8,C,162,1231
gemma4_base,R8,C,163,883
gemma4_base,R8,C,164,1140
gemma4_base,R8,C,165,1940
gemma4_base,R8,C,166,1392
gemma4_base,R8,C,167,2444
gemma4_base,R8,C,168,1129
gemma4_base,R8,C,170,1007
gemma4_base,R8,C,172,1588
gemma4_base,R8,C,173,1459
gemma4_base,R8,C,174,1657
gemma4_base,R8,C,176,1640
gemma4_base,R8,C,178,1079
gemma4_base,R8,C,179,2152
gemma4_base,R8,C,180,1208
gemma4_base,R8,C,182,1521
gemma4_base,R8,C,184,1597
gemma4_base,R8,C,186,1106
gemma4_base,R8,C,187,1388
gemma4_base,R8,C,188,1075
gemma4_base,R8,C,189,1016
gemma4_base,R8,C,192,2067
gemma4_base,R8,C,194,843
gemma4_base,R8,C,195,1250
gemma4_base,R8,C,198,1660
gemma4_base,R8,C,199,1602
gemma4_base,R8,C,201,437
gemma4_base,R8,C,202,60
gemma4_base,R8,C,203,765
gemma4_base,R8,C,204,1061
gemma4_base,R8,C,205,2329
gemma4_base,R8,C,206,1341
gemma4_base,R8,C,208,1702
gemma4_base,R8,C,209,1162
gemma4_base,R8,C,211,814
gemma4_base,R8,C,212,1220
gemma4_base,R8,C,213,1361
gemma4_base,R8,C,219,465
gemma4_base,R8,C,220,1005
gemma4_base,R8,C,223,1876
gemma4_base,R8,C,224,1367
gemma4_base,R8,C,227,2544
gemma4_base,R8,C,229,1128
gemma4_base,R8,C,231,1665
gemma4_base,R8,C,232,1151
gemma4_base,R8,C,233,1346
gemma4_base,R8,C,236,1922
gemma4_base,R8,C,240,1090
gemma4_base,R8,C,242,1578
gemma4_base,R8,C,243,1267
gemma4_base,free,A,2,1412
gemma4_base,free,A,3,1429
gemma4_base,free,A,4,1274
gemma4_base,free,A,5,1140
gemma4_base,free,A,6,1239
gemma4_base,free,A,7,454
gemma4_base,free,A,8,350
gemma4_base,free,A,10,866
gemma4_base,free,A,11,961
gemma4_base,free,A,12,1276
gemma4_base,free,A,13,1042
gemma4_base,free,A,14,1171
gemma4_base,free,A,15,971
gemma4_base,free,A,16,2182
gemma4_base,free,A,17,1053
gemma4_base,free,A,18,1000
gemma4_base,free,A,19,2407
gemma4_base,free,A,20,942
gemma4_base,free,A,22,1488
gemma4_base,free,A,23,1804
gemma4_base,free,A,24,2179
gemma4_base,free,A,26,1086
gemma4_base,free,A,27,1876
gemma4_base,free,A,29,1479
gemma4_base,free,A,30,833
gemma4_base,free,A,31,1536
gemma4_base,free,A,33,1474
gemma4_base,free,A,34,860
gemma4_base,free,A,36,2647
gemma4_base,free,A,38,1833
gemma4_base,free,A,39,1402
gemma4_base,free,A,40,1568
gemma4_base,free,A,41,1662
gemma4_base,free,A,43,2688
gemma4_base,free,A,46,1516
gemma4_base,free,A,47,1736
gemma4_base,free,A,48,1395
gemma4_base,free,A,49,1537
gemma4_base,free,A,51,1290
gemma4_base,free,A,54,1713
gemma4_base,free,A,55,1264
gemma4_base,free,A,56,1101
gemma4_base,free,A,57,1269
gemma4_base,free,A,58,3192
gemma4_base,free,A,60,1855
gemma4_base,free,A,61,987
gemma4_base,free,A,62,2101
