"# Per-item generation lengths re-tokenized from the committed mmlu_dual dumps (think-off MMLU, 228 items = 4/subject x 57). gen_toks: model-own-tokenizer count of the dumped text (post-strip = full generation for think-off). ordering_ok: 1 iff this record's arms share an identical 228-long gold sequence, the precondition for pairing rows across arms by idx. correct_*: pred==gold under the relaxed / strict extractor. Producer: analysis/residency/mmlu_dual_lengths.py"
record,model_family,arm,idx,gold,correct_relaxed,correct_strict,gen_toks,ordering_ok
gemma4_ce_d12_dual,gemma4,R16,89,B,1,0,233,1
gemma4_ce_d12_dual,gemma4,R16,90,C,1,1,84,1
gemma4_ce_d12_dual,gemma4,R16,91,A,1,0,206,1
gemma4_ce_d12_dual,gemma4,R16,92,A,1,1,174,1
gemma4_ce_d12_dual,gemma4,R16,93,B,1,0,397,1
gemma4_ce_d12_dual,gemma4,R16,94,A,1,1,181,1
gemma4_ce_d12_dual,gemma4,R16,95,A,1,1,237,1
gemma4_ce_d12_dual,gemma4,R16,96,B,1,1,214,1
gemma4_ce_d12_dual,gemma4,R16,97,D,1,1,202,1
gemma4_ce_d12_dual,gemma4,R16,98,C,1,1,199,1
gemma4_ce_d12_dual,gemma4,R16,99,D,1,0,252,1
gemma4_ce_d12_dual,gemma4,R16,100,B,1,0,298,1
gemma4_ce_d12_dual,gemma4,R16,101,A,0,0,270,1
gemma4_ce_d12_dual,gemma4,R16,102,C,1,0,232,1
gemma4_ce_d12_dual,gemma4,R16,103,B,0,0,351,1
gemma4_ce_d12_dual,gemma4,R16,104,B,1,0,298,1
gemma4_ce_d12_dual,gemma4,R16,105,A,1,1,308,1
gemma4_ce_d12_dual,gemma4,R16,106,A,1,1,210,1
gemma4_ce_d12_dual,gemma4,R16,107,C,1,1,177,1
gemma4_ce_d12_dual,gemma4,R16,108,C,1,1,245,1
gemma4_ce_d12_dual,gemma4,R16,109,B,1,0,315,1
gemma4_ce_d12_dual,gemma4,R16,110,D,1,1,173,1
gemma4_ce_d12_dual,gemma4,R16,111,C,1,1,129,1
gemma4_ce_d12_dual,gemma4,R16,112,C,1,0,215,1
gemma4_ce_d12_dual,gemma4,R16,113,B,1,0,411,1
gemma4_ce_d12_dual,gemma4,R16,114,A,1,0,735,1
gemma4_ce_d12_dual,gemma4,R16,115,A,1,1,240,1
gemma4_ce_d12_dual,gemma4,R16,116,A,1,1,277,1
gemma4_ce_d12_dual,gemma4,R16,117,B,1,0,207,1
gemma4_ce_d12_dual,gemma4,R16,118,B,1,1,382,1
gemma4_ce_d12_dual,gemma4,R16,119,D,1,0,520,1
gemma4_ce_d12_dual,gemma4,R16,120,C,1,1,451,1
gemma4_ce_d12_dual,gemma4,R16,121,C,1,0,449,1
gemma4_ce_d12_dual,gemma4,R16,122,B,1,0,272,1
gemma4_ce_d12_dual,gemma4,R16,123,C,1,0,539,1
gemma4_ce_d12_dual,gemma4,R16,124,A,0,0,374,1
gemma4_ce_d12_dual,gemma4,R16,125,D,1,1,194,1
gemma4_ce_d12_dual,gemma4,R16,126,B,0,0,407,1
gemma4_ce_d12_dual,gemma4,R16,127,B,1,0,279,1
gemma4_ce_d12_dual,gemma4,R16,128,A,1,1,417,1
gemma4_ce_d12_dual,gemma4,R16,129,C,1,0,524,1
gemma4_ce_d12_dual,gemma4,R16,130,A,1,0,487,1
gemma4_ce_d12_dual,gemma4,R16,131,D,1,1,551,1
gemma4_ce_d12_dual,gemma4,R16,132,B,1,0,348,1
gemma4_ce_d12_dual,gemma4,R16,133,D,1,0,337,1
gemma4_ce_d12_dual,gemma4,R16,134,C,1,0,178,1
gemma4_ce_d12_dual,gemma4,R16,135,A,0,0,193,1
gemma4_ce_d12_dual,gemma4,R16,136,D,1,1,315,1
gemma4_ce_d12_dual,gemma4,R16,137,B,1,0,305,1
gemma4_ce_d12_dual,gemma4,R16,138,B,1,1,303,1
gemma4_ce_d12_dual,gemma4,R16,139,A,1,1,305,1
gemma4_ce_d12_dual,gemma4,R16,140,B,1,1,388,1
gemma4_ce_d12_dual,gemma4,R16,141,D,1,0,500,1
gemma4_ce_d12_dual,gemma4,R16,142,D,1,0,237,1
gemma4_ce_d12_dual,gemma4,R16,143,C,1,1,303,1
gemma4_ce_d12_dual,gemma4,R16,144,A,1,1,522,1
gemma4_ce_d12_dual,gemma4,R16,145,C,0,0,477,1
gemma4_ce_d12_dual,gemma4,R16,146,B,1,1,155,1
gemma4_ce_d12_dual,gemma4,R16,147,D,1,0,287,1
gemma4_ce_d12_dual,gemma4,R16,148,A,1,1,362,1
gemma4_ce_d12_dual,gemma4,R16,149,B,1,1,268,1
gemma4_ce_d12_dual,gemma4,R16,150,D,1,1,339,1
gemma4_ce_d12_dual,gemma4,R16,151,A,1,0,263,1
gemma4_ce_d12_dual,gemma4,R16,152,B,1,0,198,1
gemma4_ce_d12_dual,gemma4,R16,153,D,1,0,215,1
gemma4_ce_d12_dual,gemma4,R16,154,A,1,0,473,1
gemma4_ce_d12_dual,gemma4,R16,155,A,1,1,283,1
gemma4_ce_d12_dual,gemma4,R16,156,D,1,0,237,1
gemma4_ce_d12_dual,gemma4,R16,157,C,1,0,285,1
gemma4_ce_d12_dual,gemma4,R16,158,B,1,1,448,1
gemma4_ce_d12_dual,gemma4,R16,159,B,1,0,267,1
gemma4_ce_d12_dual,gemma4,R16,160,B,1,0,230,1
gemma4_ce_d12_dual,gemma4,R16,161,B,1,0,372,1
gemma4_ce_d12_dual,gemma4,R16,162,B,1,0,237,1
gemma4_ce_d12_dual,gemma4,R16,163,B,1,1,160,1
gemma4_ce_d12_dual,gemma4,R16,164,C,1,1,354,1
gemma4_ce_d12_dual,gemma4,R16,165,B,0,0,681,1
gemma4_ce_d12_dual,gemma4,R16,166,A,1,1,427,1
gemma4_ce_d12_dual,gemma4,R16,167,D,1,0,291,1
gemma4_ce_d12_dual,gemma4,R16,168,C,1,0,309,1
gemma4_ce_d12_dual,gemma4,R16,169,A,1,1,340,1
gemma4_ce_d12_dual,gemma4,R16,170,B,1,1,354,1
gemma4_ce_d12_dual,gemma4,R16,171,D,1,0,273,1
gemma4_ce_d12_dual,gemma4,R16,172,A,1,1,247,1
gemma4_ce_d12_dual,gemma4,R16,173,A,1,0,303,1
gemma4_ce_d12_dual,gemma4,R16,174,D,1,1,186,1
gemma4_ce_d12_dual,gemma4,R16,175,A,1,1,239,1
gemma4_ce_d12_dual,gemma4,R16,176,D,0,0,376,1
gemma4_ce_d12_dual,gemma4,R16,177,A,1,0,372,1
gemma4_ce_d12_dual,gemma4,R16,178,C,1,0,486,1
gemma4_ce_d12_dual,gemma4,R16,179,A,1,0,791,1
gemma4_ce_d12_dual,gemma4,R16,180,C,1,0,529,1
gemma4_ce_d12_dual,gemma4,R16,181,A,1,0,506,1
gemma4_ce_d12_dual,gemma4,R16,182,D,1,0,405,1
gemma4_ce_d12_dual,gemma4,R16,183,B,0,0,459,1
gemma4_ce_d12_dual,gemma4,R16,184,D,1,0,410,1
gemma4_ce_d12_dual,gemma4,R16,185,A,1,1,300,1
gemma4_ce_d12_dual,gemma4,R16,186,D,1,1,399,1
gemma4_ce_d12_dual,gemma4,R16,187,B,1,0,774,1
gemma4_ce_d12_dual,gemma4,R16,188,A,1,0,369,1
gemma4_ce_d12_dual,gemma4,R16,189,B,1,1,345,1
gemma4_ce_d12_dual,gemma4,R16,190,D,1,0,440,1
gemma4_ce_d12_dual,gemma4,R16,191,C,1,0,412,1
gemma4_ce_d12_dual,gemma4,R16,192,B,1,0,286,1
gemma4_ce_d12_dual,gemma4,R16,193,A,1,0,496,1
gemma4_ce_d12_dual,gemma4,R16,194,C,1,0,363,1
gemma4_ce_d12_dual,gemma4,R16,195,A,1,1,357,1
gemma4_ce_d12_dual,gemma4,R16,196,D,0,0,592,1
gemma4_ce_d12_dual,gemma4,R16,197,A,1,0,309,1
gemma4_ce_d12_dual,gemma4,R16,198,C,1,1,454,1
gemma4_ce_d12_dual,gemma4,R16,199,C,1,0,501,1
gemma4_ce_d12_dual,gemma4,R16,200,A,1,0,330,1
gemma4_ce_d12_dual,gemma4,R16,201,C,1,0,311,1
gemma4_ce_d12_dual,gemma4,R16,202,C,1,0,327,1
gemma4_ce_d12_dual,gemma4,R16,203,D,1,1,206,1
gemma4_ce_d12_dual,gemma4,R16,204,A,1,1,264,1
gemma4_ce_d12_dual,gemma4,R16,205,C,1,1,374,1
gemma4_ce_d12_dual,gemma4,R16,206,A,1,0,314,1
gemma4_ce_d12_dual,gemma4,R16,207,C,1,1,385,1
gemma4_ce_d12_dual,gemma4,R16,208,D,1,0,208,1
gemma4_ce_d12_dual,gemma4,R16,209,A,0,0,373,1
gemma4_ce_d12_dual,gemma4,R16,210,D,1,1,137,1
gemma4_ce_d12_dual,gemma4,R16,211,B,0,0,172,1
gemma4_ce_d12_dual,gemma4,R16,212,C,1,0,298,1
gemma4_ce_d12_dual,gemma4,R16,213,D,1,1,218,1
gemma4_ce_d12_dual,gemma4,R16,214,D,1,1,205,1
gemma4_ce_d12_dual,gemma4,R16,215,D,1,1,157,1
gemma4_ce_d12_dual,gemma4,R16,216,D,0,0,340,1
gemma4_ce_d12_dual,gemma4,R16,217,A,1,0,237,1
gemma4_ce_d12_dual,gemma4,R16,218,A,1,0,758,1
gemma4_ce_d12_dual,gemma4,R16,219,A,1,0,311,1
gemma4_ce_d12_dual,gemma4,R16,220,C,1,0,551,1
gemma4_ce_d12_dual,gemma4,R16,221,B,0,0,937,1
gemma4_ce_d12_dual,gemma4,R16,222,D,1,0,583,1
gemma4_ce_d12_dual,gemma4,R16,223,C,1,0,423,1
gemma4_ce_d12_dual,gemma4,R16,224,D,1,1,93,1
gemma4_ce_d12_dual,gemma4,R16,225,B,1,1,351,1
gemma4_ce_d12_dual,gemma4,R16,226,D,1,0,232,1
gemma4_ce_d12_dual,gemma4,R16,227,A,1,1,93,1
gemma4_ce_d12_dual,gemma4,R8,0,B,0,0,515,1
gemma4_ce_d12_dual,gemma4,R8,1,C,1,1,665,1
gemma4_ce_d12_dual,gemma4,R8,2,D,1,0,761,1
gemma4_ce_d12_dual,gemma4,R8,3,B,1,0,620,1
gemma4_ce_d12_dual,gemma4,R8,4,A,1,1,600,1
gemma4_ce_d12_dual,gemma4,R8,5,B,1,1,455,1
gemma4_ce_d12_dual,gemma4,R8,6,A,1,0,248,1
gemma4_ce_d12_dual,gemma4,R8,7,C,1,1,488,1
gemma4_ce_d12_dual,gemma4,R8,8,A,1,1,366,1
gemma4_ce_d12_dual,gemma4,R8,9,D,1,1,232,1
gemma4_ce_d12_dual,gemma4,R8,10,C,1,1,287,1
gemma4_ce_d12_dual,gemma4,R8,11,C,1,1,309,1
gemma4_ce_d12_dual,gemma4,R8,12,C,1,1,367,1
gemma4_ce_d12_dual,gemma4,R8,13,C,1,0,331,1
gemma4_ce_d12_dual,gemma4,R8,14,A,1,1,282,1
gemma4_ce_d12_dual,gemma4,R8,15,B,1,0,405,1
gemma4_ce_d12_dual,gemma4,R8,16,D,1,1,310,1
gemma4_ce_d12_dual,gemma4,R8,17,C,1,0,335,1
gemma4_ce_d12_dual,gemma4,R8,18,D,1,0,336,1
gemma4_ce_d12_dual,gemma4,R8,19,B,0,0,2048,1
gemma4_ce_d12_dual,gemma4,R8,20,A,1,1,340,1
gemma4_ce_d12_dual,gemma4,R8,21,C,1,0,968,1
gemma4_ce_d12_dual,gemma4,R8,22,B,1,1,1066,1
gemma4_ce_d12_dual,gemma4,R8,23,A,1,0,458,1
gemma4_ce_d12_dual,gemma4,R8,24,B,1,1,466,1
gemma4_ce_d12_dual,gemma4,R8,25,D,1,0,517,1
gemma4_ce_d12_dual,gemma4,R8,26,D,1,0,754,1
gemma4_ce_d12_dual,gemma4,R8,27,A,1,1,448,1
gemma4_ce_d12_dual,gemma4,R8,28,B,1,1,354,1
gemma4_ce_d12_dual,gemma4,R8,29,C,1,0,1195,1
gemma4_ce_d12_dual,gemma4,R8,30,C,1,1,367,1
gemma4_ce_d12_dual,gemma4,R8,31,A,1,1,330,1
gemma4_ce_d12_dual,gemma4,R8,32,C,1,0,307,1
gemma4_ce_d12_dual,gemma4,R8,33,A,1,1,267,1
gemma4_ce_d12_dual,gemma4,R8,34,C,1,0,474,1
gemma4_ce_d12_dual,gemma4,R8,35,A,1,0,229,1
gemma4_ce_d12_dual,gemma4,R8,36,A,1,0,178,1
gemma4_ce_d12_dual,gemma4,R8,37,B,1,0,168,1
gemma4_ce_d12_dual,gemma4,R8,38,B,1,0,379,1
gemma4_ce_d12_dual,gemma4,R8,39,B,1,0,542,1
gemma4_ce_d12_dual,gemma4,R8,40,D,1,0,228,1
gemma4_ce_d12_dual,gemma4,R8,41,D,1,0,290,1
gemma4_ce_d12_dual,gemma4,R8,42,A,1,1,260,1
gemma4_ce_d12_dual,gemma4,R8,43,A,1,0,790,1
gemma4_ce_d12_dual,gemma4,R8,44,C,1,1,272,1
gemma4_ce_d12_dual,gemma4,R8,45,C,1,0,272,1
gemma4_ce_d12_dual,gemma4,R8,46,D,1,1,208,1
gemma4_ce_d12_dual,gemma4,R8,47,B,1,1,337,1
gemma4_ce_d12_dual,gemma4,R8,48,A,1,1,272,1
gemma4_ce_d12_dual,gemma4,R8,49,A,1,0,440,1
gemma4_ce_d12_dual,gemma4,R8,50,C,1,1,334,1
gemma4_ce_d12_dual,gemma4,R8,51,A,1,0,205,1
gemma4_ce_d12_dual,gemma4,R8,52,A,1,0,348,1
gemma4_ce_d12_dual,gemma4,R8,53,A,0,0,653,1
gemma4_ce_d12_dual,gemma4,R8,54,C,1,1,375,1
gemma4_ce_d12_dual,gemma4,R8,55,A,1,0,580,1
gemma4_ce_d12_dual,gemma4,R8,56,C,1,0,272,1
gemma4_ce_d12_dual,gemma4,R8,57,A,1,0,259,1
gemma4_ce_d12_dual,gemma4,R8,58,A,1,1,354,1
gemma4_ce_d12_dual,gemma4,R8,59,C,1,1,373,1
gemma4_ce_d12_dual,gemma4,R8,60,D,1,0,372,1
gemma4_ce_d12_dual,gemma4,R8,61,C,1,1,214,1
gemma4_ce_d12_dual,gemma4,R8,62,A,1,1,628,1
gemma4_ce_d12_dual,gemma4,R8,63,B,1,1,302,1
gemma4_ce_d12_dual,gemma4,R8,64,B,1,1,189,1
gemma4_ce_d12_dual,gemma4,R8,65,A,1,1,274,1
gemma4_ce_d12_dual,gemma4,R8,66,D,1,1,331,1
gemma4_ce_d12_dual,gemma4,R8,67,C,1,1,411,1
gemma4_ce_d12_dual,gemma4,R8,68,B,1,0,794,1
gemma4_ce_d12_dual,gemma4,R8,69,C,1,0,865,1
gemma4_ce_d12_dual,gemma4,R8,70,D,1,0,452,1
gemma4_ce_d12_dual,gemma4,R8,71,D,1,1,429,1
gemma4_ce_d12_dual,gemma4,R8,72,D,0,0,1022,1
gemma4_ce_d12_dual,gemma4,R8,73,C,1,1,298,1
gemma4_ce_d12_dual,gemma4,R8,74,B,1,1,240,1
gemma4_ce_d12_dual,gemma4,R8,75,D,1,0,313,1
gemma4_ce_d12_dual,gemma4,R8,76,C,1,1,272,1
gemma4_ce_d12_dual,gemma4,R8,77,B,1,0,497,1
gemma4_ce_d12_dual,gemma4,R8,78,D,1,1,319,1
gemma4_ce_d12_dual,gemma4,R8,79,D,1,1,280,1
gemma4_ce_d12_dual,gemma4,R8,80,A,1,1,212,1
gemma4_ce_d12_dual,gemma4,R8,81,D,1,0,258,1
gemma4_ce_d12_dual,gemma4,R8,82,A,1,1,248,1
gemma4_ce_d12_dual,gemma4,R8,83,B,1,0,295,1
gemma4_ce_d12_dual,gemma4,R8,84,B,1,0,476,1
gemma4_ce_d12_dual,gemma4,R8,85,D,1,0,247,1
gemma4_ce_d12_dual,gemma4,R8,86,D,1,0,219,1
gemma4_ce_d12_dual,gemma4,R8,87,D,1,0,441,1
gemma4_ce_d12_dual,gemma4,R8,88,C,1,1,229,1
gemma4_ce_d12_dual,gemma4,R8,89,B,1,1,133,1
gemma4_ce_d12_dual,gemma4,R8,90,C,1,1,190,1
gemma4_ce_d12_dual,gemma4,R8,91,A,1,1,138,1
gemma4_ce_d12_dual,gemma4,R8,92,A,1,1,141,1
gemma4_ce_d12_dual,gemma4,R8,93,B,1,0,232,1
gemma4_ce_d12_dual,gemma4,R8,94,A,1,0,196,1
gemma4_ce_d12_dual,gemma4,R8,95,A,1,1,236,1
gemma4_ce_d12_dual,gemma4,R8,96,B,1,1,265,1
gemma4_ce_d12_dual,gemma4,R8,97,D,1,1,202,1
gemma4_ce_d12_dual,gemma4,R8,98,C,1,1,218,1
gemma4_ce_d12_dual,gemma4,R8,99,D,1,1,248,1
gemma4_ce_d12_dual,gemma4,R8,100,B,1,1,233,1
gemma4_ce_d12_dual,gemma4,R8,101,A,0,0,477,1
gemma4_ce_d12_dual,gemma4,R8,102,C,1,0,393,1
gemma4_ce_d12_dual,gemma4,R8,103,B,0,0,268,1
gemma4_ce_d12_dual,gemma4,R8,104,B,1,1,298,1
gemma4_ce_d12_dual,gemma4,R8,105,A,1,0,340,1
gemma4_ce_d12_dual,gemma4,R8,106,A,1,1,350,1
gemma4_ce_d12_dual,gemma4,R8,107,C,1,0,190,1
gemma4_ce_d12_dual,gemma4,R8,108,C,1,1,170,1
gemma4_ce_d12_dual,gemma4,R8,109,B,1,0,357,1
gemma4_ce_d12_dual,gemma4,R8,110,D,1,1,154,1
gemma4_ce_d12_dual,gemma4,R8,111,C,1,1,325,1
gemma4_ce_d12_dual,gemma4,R8,112,C,1,0,251,1
gemma4_ce_d12_dual,gemma4,R8,113,B,1,0,423,1
gemma4_ce_d12_dual,gemma4,R8,114,A,1,0,449,1
gemma4_ce_d12_dual,gemma4,R8,115,A,1,0,279,1
gemma4_ce_d12_dual,gemma4,R8,116,A,1,1,269,1
gemma4_ce_d12_dual,gemma4,R8,117,B,1,0,146,1
gemma4_ce_d12_dual,gemma4,R8,118,B,1,1,341,1
gemma4_ce_d12_dual,gemma4,R8,119,D,1,0,849,1
gemma4_ce_d12_dual,gemma4,R8,120,C,1,0,496,1
gemma4_ce_d12_dual,gemma4,R8,121,C,1,0,426,1
gemma4_ce_d12_dual,gemma4,R8,122,B,1,0,255,1
gemma4_ce_d12_dual,gemma4,R8,123,C,1,0,518,1
gemma4_ce_d12_dual,gemma4,R8,124,A,0,0,348,1
gemma4_ce_d12_dual,gemma4,R8,125,D,1,1,194,1
gemma4_ce_d12_dual,gemma4,R8,126,B,1,0,365,1
gemma4_ce_d12_dual,gemma4,R8,127,B,1,0,297,1
gemma4_ce_d12_dual,gemma4,R8,128,A,1,0,585,1
gemma4_ce_d12_dual,gemma4,R8,129,C,1,0,486,1
gemma4_ce_d12_dual,gemma4,R8,130,A,1,0,476,1
gemma4_ce_d12_dual,gemma4,R8,131,D,1,0,500,1
gemma4_ce_d12_dual,gemma4,R8,132,B,1,1,110,1
gemma4_ce_d12_dual,gemma4,R8,133,D,1,1,200,1
gemma4_ce_d12_dual,gemma4,R8,134,C,1,1,163,1
gemma4_ce_d12_dual,gemma4,R8,135,A,0,0,246,1
gemma4_ce_d12_dual,gemma4,R8,136,D,1,0,354,1
gemma4_ce_d12_dual,gemma4,R8,137,B,1,0,369,1
gemma4_ce_d12_dual,gemma4,R8,138,B,1,1,252,1
gemma4_ce_d12_dual,gemma4,R8,139,A,1,1,379,1
gemma4_ce_d12_dual,gemma4,R8,140,B,1,0,497,1
gemma4_ce_d12_dual,gemma4,R8,141,D,1,0,404,1
gemma4_ce_d12_dual,gemma4,R8,142,D,1,1,236,1
gemma4_ce_d12_dual,gemma4,R8,143,C,1,1,200,1
gemma4_ce_d12_dual,gemma4,R8,144,A,1,0,457,1
gemma4_ce_d12_dual,gemma4,R8,145,C,1,1,568,1
gemma4_ce_d12_dual,gemma4,R8,146,B,1,1,184,1
gemma4_ce_d12_dual,gemma4,R8,147,D,1,1,400,1
gemma4_ce_d12_dual,gemma4,R8,148,A,1,0,296,1
gemma4_ce_d12_dual,gemma4,R8,149,B,1,0,203,1
gemma4_ce_d12_dual,gemma4,R8,150,D,1,0,339,1
gemma4_ce_d12_dual,gemma4,R8,151,A,1,1,311,1
gemma4_ce_d12_dual,gemma4,R8,152,B,1,1,205,1
gemma4_ce_d12_dual,gemma4,R8,153,D,1,0,228,1
gemma4_ce_d12_dual,gemma4,R8,154,A,1,0,471,1
gemma4_ce_d12_dual,gemma4,R8,155,A,1,1,315,1
gemma4_ce_d12_dual,gemma4,R8,156,D,1,0,223,1
gemma4_ce_d12_dual,gemma4,R8,157,C,1,0,322,1
gemma4_ce_d12_dual,gemma4,R8,158,B,1,0,335,1
gemma4_ce_d12_dual,gemma4,R8,159,B,1,0,298,1
gemma4_ce_d12_dual,gemma4,R8,160,B,1,1,236,1
gemma4_ce_d12_dual,gemma4,R8,161,B,1,0,397,1
gemma4_ce_d12_dual,gemma4,R8,162,B,1,0,229,1
gemma4_ce_d12_dual,gemma4,R8,163,B,1,1,98,1
gemma4_ce_d12_dual,gemma4,R8,164,C,1,0,293,1
gemma4_ce_d12_dual,gemma4,R8,165,B,1,0,309,1
gemma4_ce_d12_dual,gemma4,R8,166,A,1,1,311,1
gemma4_ce_d12_dual,gemma4,R8,167,D,1,1,296,1
gemma4_ce_d12_dual,gemma4,R8,168,C,1,1,343,1
gemma4_ce_d12_dual,gemma4,R8,169,A,1,0,252,1
